name,year,rate,id
Polk County,2020,4635.55747,19153
Scott County,2020,2081.126109,19163
Linn County,2020,1749.591656,19113
Johnson County,2020,1367.787617,19103
Black Hawk County,2020,1245.153342,19013
Story County,2020,946.8482896,19169
Dallas County,2020,938.9743727,19049
Dubuque County,2020,875.3366344,19061
Woodbury County,2020,657.9609304,19193
Pottawattamie County,2020,550.1595895,19155
Muscatine County,2020,539.7482089,19139
Des Moines County,2020,516.5309018,19057
Warren County,2020,515.2702372,19181
Wapello County,2020,462.1464331,19179
Cerro Gordo County,2020,399.9814284,19033
Marshall County,2020,385.6623458,19127
Clinton County,2020,362.2357944,19045
Lee County,2020,358.2417968,19111
Marion County,2020,329.9919726,19125
Bremer County,2020,306.2804235,19017
Jasper County,2020,287.612905,19099
Webster County,2020,280.3035835,19187
Henry County,2020,267.0922982,19087
Boone County,2020,256.7631671,19015
Sioux County,2020,248.7652357,19167
Dickinson County,2020,231.4843797,19059
Washington County,2020,222.7531566,19183
Mahaska County,2020,217.8744954,19123
Jefferson County,2020,203.8141737,19101
Carroll County,2020,200.7423936,19027
Jones County,2020,196.7375881,19105
Benton County,2020,195.9319366,19011
Buchanan County,2020,195.0990423,19019
Buena Vista County,2020,193.4720997,19021
Mills County,2020,186.9697209,19129
Poweshiek County,2020,177.3563844,19157
Cedar County,2020,176.7632333,19031
Floyd County,2020,166.2657894,19067
Madison County,2020,165.8429961,19121
Jackson County,2020,164.6634125,19097
Delaware County,2020,164.2344881,19055
Page County,2020,162.9120732,19145
Union County,2020,162.0289602,19175
Hardin County,2020,161.4530648,19083
Plymouth County,2020,160.3449914,19149
Iowa County,2020,158.0740329,19095
Winneshiek County,2020,154.0611583,19191
Clay County,2020,152.5660102,19041
Louisa County,2020,146.745921,19115
Fayette County,2020,143.2467422,19065
Hamilton County,2020,141.9977846,19079
Winnebago County,2020,140.4527897,19189
Montgomery County,2020,138.1674834,19137
Appanoose County,2020,136.8535756,19007
Grundy County,2020,133.8799823,19075
Butler County,2020,132.8232301,19023
O'Brien County,2020,131.9445722,19141
Cass County,2020,130.8613526,19029
Tama County,2020,130.6555226,19171
Clarke County,2020,128.3893611,19039
Crawford County,2020,127.380535,19047
Chickasaw County,2020,126.6932185,19037
Emmet County,2020,123.1529281,19063
Wright County,2020,119.9258568,19197
Mitchell County,2020,118.8596951,19131
Humboldt County,2020,118.6235641,19091
Harrison County,2020,116.0817987,19085
Clayton County,2020,115.1988222,19043
Lucas County,2020,112.9946816,19117
Allamakee County,2020,112.9674711,19005
Shelby County,2020,110.712317,19165
Cherokee County,2020,108.9446168,19035
Lyon County,2020,107.2044471,19119
Howard County,2020,105.6196142,19089
Davis County,2020,103.4825861,19051
Hancock County,2020,100.4305676,19081
Guthrie County,2020,99.83750907,19077
Monroe County,2020,99.24023068,19135
Worth County,2020,97.80465186,19195
Keokuk County,2020,97.42021184,19107
Calhoun County,2020,94.59977642,19025
Franklin County,2020,92.75909403,19069
Sac County,2020,92.51928928,19161
Ida County,2020,88.42605749,19093
Greene County,2020,84.63745439,19073
Palo Alto County,2020,84.23439686,19147
Van Buren County,2020,84.1207504,19177
Decatur County,2020,82.1545239,19053
Osceola County,2020,81.88862553,19143
Kossuth County,2020,80.82031341,19109
Adair County,2020,74.05621173,19001
Fremont County,2020,73.31150783,19071
Audubon County,2020,71.30580433,19009
Wayne County,2020,70.67226026,19185
Monona County,2020,69.01081927,19133
Pocahontas County,2020,65.94860415,19151
Taylor County,2020,63.246595,19173
Ringgold County,2020,49.65243896,19159
Adams County,2020,49.49476584,19003
Polk County,2010,4054.127568,19153
Scott County,2010,1968.59191,19163
Linn County,2010,1604.693234,19113
Black Hawk County,2010,1244.640637,19013
Johnson County,2010,1171.17497,19103
Story County,2010,860.4147635,19169
Dubuque County,2010,825.8406889,19061
Woodbury County,2010,634.5530454,19193
Dallas County,2010,622.9967509,19049
Pottawattamie County,2010,547.1699429,19155
Des Moines County,2010,535.3150505,19057
Muscatine County,2010,533.6310209,19139
Wapello County,2010,464.5982075,19179
Warren County,2010,454.5229608,19181
Cerro Gordo County,2010,409.4785179,19033
Marshall County,2010,390.8840053,19127
Clinton County,2010,382.9438932,19045
Lee County,2010,382.8719213,19111
Marion County,2010,328.9550073,19125
Bremer County,2010,297.5533681,19017
Webster County,2010,287.9856245,19187
Jasper County,2010,280.2272934,19099
Henry County,2010,262.6977028,19087
Boone County,2010,252.8321869,19015
Sioux County,2010,233.7305839,19167
Mahaska County,2010,219.7498459,19123
Jefferson County,2010,219.1688775,19101
Dickinson County,2010,217.9376465,19059
Washington County,2010,214.2536899,19183
Carroll County,2010,201.2838952,19027
Benton County,2010,199.770134,19011
Buchanan County,2010,198.827412,19019
Jones County,2010,196.6613554,19105
Mills County,2010,194.3922277,19129
Buena Vista County,2010,188.2411152,19021
Poweshiek County,2010,179.7512943,19157
Cedar County,2010,176.7059201,19031
Floyd County,2010,173.4581919,19067
Page County,2010,170.6340905,19145
Jackson County,2010,167.7310449,19097
Hardin County,2010,167.7282876,19083
Union County,2010,167.315125,19175
Delaware County,2010,166.8264779,19055
Winneshiek County,2010,161.6298828,19191
Madison County,2010,157.1339337,19121
Plymouth County,2010,155.9024031,19149
Clay County,2010,155.2012752,19041
Iowa County,2010,155.1614937,19095
Louisa County,2010,154.1935777,19115
Fayette County,2010,153.3134439,19065
Hamilton County,2010,147.9839935,19079
